Datetime,Open,High,Low,Close,TotalVolume
2019-09-25 16:30:00,8325.28,8387.41,8270.93,8305.0,1572888
2019-09-25 17:00:00,8306.56,8546.73,8215.0,8250.36,1426876
2019-09-25 17:30:00,8250.36,8366.99,8250.36,8343.69,873639
2019-09-25 18:00:00,8345.0,8403.9,8330.0,8392.49,811059
2019-09-25 18:30:00,8391.37,8445.03,8388.8,8393.57,806945
2019-09-25 19:00:00,8392.92,8433.8,8355.67,8413.62,593956
2019-09-25 19:30:00,8413.62,8435.71,8337.33,8356.0,555798
2019-09-25 20:00:00,8353.57,8361.14,8294.99,8327.38,839783
2019-09-25 20:30:00,8324.27,8325.34,8242.61,8310.11,1286510
2019-09-25 21:00:00,8310.11,8365.29,8280.0,8303.67,821303
2019-09-25 21:30:00,8301.29,8433.39,8286.46,8429.24,1722558
2019-09-25 22:00:00,8429.31,8433.54,8350.29,8389.21,1022634
2019-09-25 22:30:00,8389.21,8460.0,8389.21,8424.23,1347311
2019-09-25 23:00:00,8420.74,8423.69,8363.6,8367.0,1002339
2019-09-25 23:30:00,8367.57,8420.0,8363.51,8374.42,484058
2019-09-26 00:00:00,8375.06,8391.15,8287.25,8293.28,1394601
2019-09-26 00:30:00,8295.79,8347.21,8223.71,8316.77,1712647
2019-09-26 01:00:00,8317.17,8353.41,8282.0,8340.05,821567
2019-09-26 01:30:00,8340.82,8408.31,8339.47,8357.11,964822
2019-09-26 02:00:00,8357.0,8386.46,8333.0,8371.16,936628
2019-09-26 02:30:00,8367.73,8396.37,8346.89,8350.04,348280
2019-09-26 03:00:00,8349.08,8371.81,8305.77,8341.76,688993
2019-09-26 03:30:00,8341.75,8367.11,8318.89,8344.4,447164
2019-09-26 04:00:00,8342.02,8359.0,8314.62,8346.96,477172
2019-09-26 04:30:00,8346.96,8500.0,8338.8,8475.0,1423593
2019-09-26 05:00:00,8474.22,8520.07,8455.06,8495.77,881256
2019-09-26 05:30:00,8493.45,8545.0,8462.01,8543.64,598599
2019-09-26 06:00:00,8544.9,8576.87,8526.98,8575.59,779983
2019-09-26 06:30:00,8572.13,8628.44,8465.0,8500.14,2133493
2019-09-26 07:00:00,8500.14,8500.65,8426.7,8431.74,1102598
2019-09-26 07:30:00,8431.86,8432.7,8332.41,8387.98,1547056
2019-09-26 08:00:00,8386.63,8457.49,8384.19,8430.07,689369
2019-09-26 08:30:00,8428.15,8443.55,8393.0,8421.27,560908
2019-09-26 09:00:00,8420.93,8420.96,8375.16,8379.85,606540
2019-09-26 09:30:00,8384.0,8407.7,8358.1,8378.48,620253
